Jahr,Land,Schule,Klassenstufe,Klasse,Name,Team,Aufgabe,Punkte
2024,,,Schuljahre 9 und 10,RPS,qmgrv,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,gcytw,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,gnwmq,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,ehzmp,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,tseqa,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,xvrfq,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,vjsai,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,fmgzi,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,zvnpa,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,awcru,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,urigw,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,pngyi,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,sodkh,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,axpsi,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,awply,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,kyeqr,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,dbuqp,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,vqiyn,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,ugzdp,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,bnvec,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,blxsv,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,qsigo,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,cnlvu,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,tverz,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,dgbml,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,hxdyv,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,wlrmx,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,upafk,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,awskt,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,ohaxz,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,yesbo,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,qvjep,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,sdpav,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,ropnf,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,jhrai,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,jcnar,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,jynto,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,rfjiy,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,bycoq,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,wujvq,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,itrzk,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,xicep,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,uypbd,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,hmkyf,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,yhmjf,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,jxmwd,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,mrlxy,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,mlyor,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,rauml,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,xfvcu,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,udcte,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,ilbwq,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,tgrdm,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,xadfw,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,htfnm,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,vmbig,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,wfjki,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,vawou,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,yxuvm,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,fcgyi,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,jglsk,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,bodta,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,tjavh,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,bczka,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,dxhym,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,kogle,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,xfbqc,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,wygzq,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,fvzbx,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,kldhy,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,pfjoq,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,haqgj,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,rozkm,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,ftzeu,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,pleho,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,qvbfl,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,zqrtx,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,nchfi,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,elaqw,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,ljtwe,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,utbsa,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,ulkhx,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,dlyjp,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,lquyb,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,tfnro,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,uvbcr,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,nefto,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,guqem,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,xgbir,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,lumfg,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,kwngc,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,lytmg,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,uchxi,,Achtung Stromschnellen!,0
