Jahr,Klassenstufe,Klasse,Happy Birthday,Superbebras,Der Nächste bitte!,Baumtouren,Zettel-Wirtschaft,Armband auffädeln,Wortketten,Ballon-Maschine,Pip der Pirat,Gleiche Buchstaben,Bilder verschlüsseln,Sonnige Tage,Bälle,Baustein-Maschine,Schatzkarte,Achtung Stromschnellen!,Frowny,Erkundung,Umstapeln,Bonus
2024,Schuljahre 9 und 10,KHR,-2,-2,-2,-2,6,9,-3,-3,9,-3,-4,12,-4,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,KHR,-2,0,6,-2,6,9,0,0,0,-3,0,12,12,0,12,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,6,6,6,6,6,-3,-3,0,9,9,0,12,12,-4,0,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,-2,-2,6,6,-2,9,9,-3,-3,9,-4,12,-4,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,6,-2,6,-2,-2,0,-3,0,-3,-3,12,-4,0,0,0,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,-2,-2,-2,-2,6,9,-3,9,-3,9,-4,12,12,-4,12,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,-2,6,6,6,6,9,9,9,0,-3,12,12,0,12,12,0,0,0,0,45
2024,Schuljahre 9 und 10,KHR,-2,6,-2,6,6,9,0,9,9,-3,0,12,12,12,0,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,6,6,6,-2,6,9,9,-3,-3,9,0,12,0,12,12,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,0,0,-2,-2,6,-3,-3,0,0,-3,0,12,0,0,0,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,6,6,6,-2,-2,9,-3,-3,-3,-3,-4,12,-4,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,-2,6,-2,6,6,9,-3,-3,9,9,0,-4,0,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,KHR,6,0,6,-2,0,9,0,0,9,-3,0,12,0,0,0,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,-2,0,6,-2,6,9,-3,-3,-3,-3,0,-4,-4,0,0,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,6,-2,6,-2,6,9,-3,-3,-3,-3,12,-4,-4,-4,12,0,0,0,0,45
2024,Schuljahre 9 und 10,KHR,-2,6,6,6,-2,9,9,9,-3,9,0,12,12,12,0,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,6,6,6,-2,-2,9,-3,-3,-3,-3,-4,-4,-4,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,-2,-2,-2,6,-2,9,-3,-3,-3,-3,12,12,12,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,6,6,6,6,6,9,9,-3,9,9,-4,12,12,12,12,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,-2,0,6,0,-2,0,9,0,9,-3,0,12,0,0,0,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,-2,-2,6,-2,6,9,-3,-3,9,-3,-4,-4,-4,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,-2,6,6,-2,6,9,-3,9,-3,9,0,12,12,12,12,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,6,6,-2,-2,-2,9,9,0,-3,-3,12,-4,0,-4,0,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,-2,6,-2,-2,6,9,9,-3,-3,9,0,0,0,0,0,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,-2,0,-2,6,6,-3,0,0,0,-3,0,-4,0,-4,0,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,0,-2,0,-2,6,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,45
2024,Schuljahre 9 und 10,KHR,-2,0,6,6,6,9,0,0,-3,-3,0,12,12,0,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,-2,6,-2,6,-2,-3,-3,-3,9,-3,-4,12,-4,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,6,6,6,6,6,9,9,9,9,-3,12,12,12,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,KHR,-2,-2,6,6,6,9,-3,9,-3,9,12,12,0,12,12,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,-2,0,6,-2,6,9,9,-3,0,-3,0,12,0,0,0,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,-2,6,-2,-2,-2,-3,-3,-3,9,-3,-4,12,-4,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,-2,0,6,-2,6,9,-3,-3,-3,-3,-4,12,-4,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,6,6,6,6,6,9,-3,9,9,9,12,12,12,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,-2,-2,6,6,6,9,-3,0,-3,-3,12,-4,12,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,6,6,6,6,6,9,9,-3,9,9,-4,12,12,12,12,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,0,-2,6,6,6,-3,-3,0,0,-3,0,12,0,0,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,-2,-2,6,6,-2,9,-3,-3,9,9,12,-4,12,12,0,0,0,0,0,45
2024,Schuljahre 9 und 10,KHR,0,6,6,-2,0,9,-3,0,0,-3,0,12,12,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,KHR,6,0,6,0,-2,9,-3,0,9,-3,-4,12,0,12,0,0,0,0,0,45
2024,Schuljahre 9 und 10,FFD,-2,6,6,-2,6,9,0,9,-3,-3,0,12,12,0,12,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,6,6,-2,-2,6,-3,-3,-3,9,-3,-4,12,-4,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,-2,6,6,-2,-2,9,-3,-3,-3,-3,-4,-4,-4,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,-2,6,6,-2,6,9,-3,0,-3,-3,0,0,0,0,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,KHR,6,6,6,-2,6,9,0,-3,-3,9,0,12,-4,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,DSW,-2,6,6,6,6,9,-3,-3,9,-3,12,12,12,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,-2,-2,6,-2,6,9,-3,-3,9,9,-4,-4,-4,-4,0,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,6,6,6,6,-2,9,9,9,9,9,12,12,12,12,12,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,-2,6,-2,-2,-2,9,0,0,-3,-3,-4,12,0,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,-2,6,-2,-2,-2,-3,9,0,-3,9,-4,12,0,12,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,JZT,-2,0,6,-2,0,9,0,9,0,-3,0,12,0,-4,-4,0,0,0,0,45
2024,Schuljahre 9 und 10,WWA,6,6,-2,6,6,-3,9,9,-3,-3,12,12,-4,12,12,0,0,0,0,45
