Jahr,Klassenstufe,Klasse,Kurierdienst,Der Drachen ist weg!,Helligkeitskarte,Brennende Kerzen,Mehltransport,Bergseen,Biber-Mail-Adressen,Schwarz - Weiss,Biberone,ÖV,Biber Jones,Parkplätze,Prüfungsplan,Prüfbiber,"Schere, Stein, Papier",Hin und Her,Entdecke Seoul!,Bonus
2025,"Schuljahre 11, 12 und 13",ABC,-2,0,6,6,0,9,-3,0,9,-3,0,12,-4,12,12,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,6,-2,6,6,6,9,-3,9,0,0,0,12,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,6,6,6,6,6,-3,0,9,0,0,-4,12,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,6,-2,0,6,6,9,0,-3,0,0,0,12,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,-2,-2,6,6,0,9,0,9,0,0,-4,12,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,6,-2,6,6,0,0,0,0,0,-3,-4,12,0,0,12,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,6,6,6,6,-2,-3,0,0,0,0,0,12,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,0,0,6,6,6,-3,-3,-3,0,0,0,12,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,6,6,6,6,6,-3,0,-3,0,-3,0,0,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,-2,6,-2,6,0,-3,0,0,-3,0,0,12,-4,-4,12,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,6,-2,6,6,-2,-3,9,-3,0,-3,-4,12,0,0,-4,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,6,6,6,6,6,-3,0,-3,0,-3,0,0,0,-4,0,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,6,-2,6,6,6,9,0,0,-3,-3,-4,-4,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,-2,-2,6,6,6,-3,0,0,-3,0,0,12,0,-4,0,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,-2,-2,6,6,-2,0,0,-3,0,0,0,12,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,-2,-2,6,6,6,-3,-3,0,-3,-3,0,12,0,-4,-4,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,-2,-2,0,6,6,0,0,0,0,-3,0,0,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,0,-2,0,6,0,-3,0,-3,-3,0,0,-4,0,0,12,0,0,45
2025,"Schuljahre 11, 12 und 13",ABC,6,-2,-2,6,-2,0,0,0,0,0,0,0,0,0,-4,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,-2,-2,6,6,-2,0,0,-3,0,-3,0,0,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,-2,-2,-2,6,-2,9,9,-3,-3,-3,-4,-4,0,-4,-4,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,6,-2,-2,-2,-2,-3,-3,-3,-3,-3,-4,0,0,-4,12,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,-2,-2,-2,-2,-2,-3,9,-3,0,-3,0,0,0,0,-4,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,-2,-2,-2,-2,6,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,45
2025,"Schuljahre 11, 12 und 13",XUV,-2,-2,-2,6,-2,-3,9,-3,-3,-3,-4,-4,-4,-4,-4,0,0,45
