Jahr,Land,Schule,Klassenstufe,Klasse,Name,Team,Achtung Stromschnellen!,Armband auffädeln,Ballon-Maschine,Baumtouren,Baustein-Maschine,Bebrasien,Bergseen,Biber Jones,Biber-Mail-Adressen,Biberholz,Biberone,Bilder verschlüsseln,Blumentöpfe,Brennende Kerzen,Bälle,Der Drachen ist weg!,Der Nächste bitte!,Ein Tag im Nebel,Entdecke Seoul!,Erkundung,Frowny,Gleiche Buchstaben,Happy Birthday,Helligkeitskarte,Hin und Her,Kurierdienst,Mehltransport,Parkplätze,Pip der Pirat,Prüfbiber,Prüfungsplan,Schatzkarte,"Schere, Stein, Papier",Schwarz - Weiss,Sonnige Tage,Stammbaum,Superbebras,Um die Felsen,Umstapeln,Wortketten,Zettel-Wirtschaft,ÖV
2024,,,Schuljahre 9 und 10,ARJ,afhqp,,0.0,9.0,0.0,6.0,12.0,,,,,,,-4.0,,,0.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,ARJ,awply,,0.0,9.0,-3.0,-2.0,-4.0,,,,,,,12.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,12.0,,,-4.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,ARJ,bczka,,0.0,0.0,9.0,6.0,0.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,0.0,,,12.0,,,0.0,,0.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,ARJ,blxsv,,0.0,9.0,-3.0,-2.0,-4.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,-4.0,,,-4.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,ARJ,bnvec,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,0.0,,,12.0,,0.0,,0.0,9.0,-2.0,
2024,,,Schuljahre 9 und 10,ARJ,cnlvu,,0.0,9.0,0.0,-2.0,-4.0,,,,,,,12.0,,,0.0,,-2.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,0.0,,,-4.0,,6.0,,0.0,9.0,-2.0,
2024,,,Schuljahre 9 und 10,ARJ,gnwmq,,0.0,-3.0,0.0,6.0,-4.0,,,,,,,0.0,,,12.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,9.0,,,0.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,ARJ,htfnm,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,9.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,ARJ,itrzk,,0.0,9.0,9.0,-2.0,0.0,,,,,,,0.0,,,12.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,12.0,,,12.0,,6.0,,0.0,0.0,6.0,
2024,,,Schuljahre 9 und 10,ARJ,jcnar,,0.0,9.0,-3.0,6.0,12.0,,,,,,,-4.0,,,12.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,ARJ,kldhy,,0.0,9.0,0.0,6.0,12.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,9.0,,,12.0,,,-4.0,,6.0,,0.0,-3.0,6.0,
