Jahr,Klassenstufe,Klasse,Aufgabe,Punkte
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,0
2024,Schuljahre 9 und 10,WWA,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,0
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,0
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,0
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,0
2024,Schuljahre 9 und 10,JZT,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,0
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,WWA,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
