"Achtung Stromschnellen!","Armband auffädeln",Ballon-Maschine,Baumtouren,Baustein-Maschine,"Bilder verschlüsseln",Bälle,"Der Nächste bitte!",Erkundung,Frowny,"Gleiche Buchstaben","Happy Birthday",Jahr,Klasse,Klassenstufe,Land,Name,"Pip der Pirat",Schatzkarte,Schule,"Sonnige Tage",Superbebras,Team,Umstapeln,Wortketten,Zettel-Wirtschaft
0,9,-3,-2,-4,-4,-4,-2,0,0,-3,-2,2024,RPS,"Schuljahre 9 und 10",N/A,qmgrv,9,-4,N/A,12,-2,N/A,0,-3,6
0,9,0,-2,0,0,12,6,0,0,-3,-2,2024,RPS,"Schuljahre 9 und 10",N/A,gcytw,0,12,N/A,12,0,N/A,0,0,6
0,-3,0,6,-4,0,12,6,0,0,9,6,2024,ARJ,"Schuljahre 9 und 10",N/A,gnwmq,9,0,N/A,12,6,N/A,0,-3,6
0,9,-3,6,-4,-4,-4,6,0,0,9,-2,2024,PTI,"Schuljahre 9 und 10",N/A,ehzmp,-3,-4,N/A,12,-2,N/A,0,9,-2
0,0,0,-2,0,12,0,6,0,0,-3,6,2024,PTI,"Schuljahre 9 und 10",N/A,tseqa,-3,0,N/A,-4,-2,N/A,0,-3,-2
0,9,9,-2,-4,-4,12,-2,0,0,9,-2,2024,KVZ,"Schuljahre 9 und 10",N/A,xvrfq,-3,12,N/A,12,-2,N/A,0,-3,6
0,9,9,6,12,12,0,6,0,0,-3,-2,2024,PTI,"Schuljahre 9 und 10",N/A,vjsai,0,12,N/A,12,6,N/A,0,9,6
0,9,9,6,12,0,12,-2,0,0,-3,-2,2024,RPS,"Schuljahre 9 und 10",N/A,fmgzi,9,0,N/A,12,6,N/A,0,0,6
0,9,-3,-2,12,0,0,6,0,0,9,6,2024,KVZ,"Schuljahre 9 und 10",N/A,zvnpa,-3,12,N/A,12,6,N/A,0,9,6
0,-3,0,-2,0,0,0,-2,0,0,-3,0,2024,PTI,"Schuljahre 9 und 10",N/A,awcru,0,0,N/A,12,0,N/A,0,-3,6
0,9,-3,-2,12,-4,-4,6,0,0,-3,6,2024,CTP,"Schuljahre 9 und 10",N/A,urigw,-3,-4,N/A,12,6,N/A,0,-3,-2
0,9,-3,6,12,0,0,-2,0,0,9,-2,2024,CTP,"Schuljahre 9 und 10",N/A,pngyi,9,-4,N/A,-4,6,N/A,0,-3,6
0,9,0,-2,0,0,0,6,0,0,-3,6,2024,RPS,"Schuljahre 9 und 10",N/A,sodkh,9,0,N/A,12,0,N/A,0,0,0
0,9,-3,-2,0,0,-4,6,0,0,-3,-2,2024,CTP,"Schuljahre 9 und 10",N/A,axpsi,-3,0,N/A,-4,0,N/A,0,-3,6
0,9,-3,-2,-4,12,-4,6,0,0,-3,6,2024,ARJ,"Schuljahre 9 und 10",N/A,awply,-3,12,N/A,-4,-2,N/A,0,-3,6
0,9,9,6,12,0,12,6,0,0,9,-2,2024,RPS,"Schuljahre 9 und 10",N/A,kyeqr,-3,0,N/A,12,6,N/A,0,9,-2
0,9,-3,-2,12,-4,-4,6,0,0,-3,6,2024,KVZ,"Schuljahre 9 und 10",N/A,dbuqp,-3,-4,N/A,-4,6,N/A,0,-3,-2
0,9,-3,6,-4,12,12,-2,0,0,-3,-2,2024,CTP,"Schuljahre 9 und 10",N/A,vqiyn,-3,-4,N/A,12,-2,N/A,0,-3,-2
0,9,-3,6,12,-4,12,6,0,0,9,6,2024,ARJ,"Schuljahre 9 und 10",N/A,ugzdp,9,12,N/A,12,6,N/A,0,9,6
0,0,0,0,0,0,0,6,0,0,-3,-2,2024,ARJ,"Schuljahre 9 und 10",N/A,bnvec,9,0,N/A,12,0,N/A,0,9,-2
0,9,-3,-2,-4,-4,-4,6,0,0,-3,-2,2024,ARJ,"Schuljahre 9 und 10",N/A,blxsv,9,-4,N/A,-4,-2,N/A,0,-3,6
0,9,9,-2,12,0,12,6,0,0,9,-2,2024,KVZ,"Schuljahre 9 und 10",N/A,qsigo,-3,12,N/A,12,6,N/A,0,-3,6
0,9,0,-2,-4,12,0,-2,0,0,-3,6,2024,ARJ,"Schuljahre 9 und 10",N/A,cnlvu,-3,0,N/A,-4,6,N/A,0,9,-2
0,9,-3,-2,0,0,0,-2,0,0,9,-2,2024,ARJ,"Schuljahre 9 und 10",N/A,tverz,-3,0,N/A,0,6,N/A,0,9,6
0,-3,0,6,-4,0,0,-2,0,0,-3,-2,2024,CTP,"Schuljahre 9 und 10",N/A,dgbml,0,0,N/A,-4,0,N/A,0,0,6
0,0,0,-2,0,0,0,0,0,0,0,0,2024,PTI,"Schuljahre 9 und 10",N/A,hxdyv,-3,0,N/A,0,-2,N/A,0,0,6
0,9,0,6,0,0,12,6,0,0,-3,-2,2024,RPS,"Schuljahre 9 und 10",N/A,wlrmx,-3,-4,N/A,12,0,N/A,0,0,6
0,-3,-3,6,-4,-4,-4,-2,0,0,-3,-2,2024,ARJ,"Schuljahre 9 und 10",N/A,upafk,9,-4,N/A,12,6,N/A,0,-3,-2
0,9,9,6,-4,12,12,6,0,0,-3,6,2024,KVZ,"Schuljahre 9 und 10",N/A,awskt,9,-4,N/A,12,6,N/A,0,9,6
0,9,9,6,12,12,0,6,0,0,9,-2,2024,RPS,"Schuljahre 9 und 10",N/A,ohaxz,-3,12,N/A,12,-2,N/A,0,-3,6
0,9,-3,-2,0,0,0,6,0,0,-3,-2,2024,PTI,"Schuljahre 9 und 10",N/A,yesbo,0,0,N/A,12,0,N/A,0,9,6
0,-3,-3,-2,12,-4,-4,-2,0,0,-3,-2,2024,ARJ,"Schuljahre 9 und 10",N/A,qvjep,9,-4,N/A,12,6,N/A,0,-3,-2
0,9,-3,-2,-4,-4,-4,6,0,0,-3,-2,2024,KVZ,"Schuljahre 9 und 10",N/A,sdpav,-3,-4,N/A,12,0,N/A,0,-3,6
0,9,9,6,12,12,12,6,0,0,9,6,2024,KVZ,"Schuljahre 9 und 10",N/A,ropnf,9,-4,N/A,12,6,N/A,0,-3,6
0,9,0,6,12,12,12,6,0,0,-3,-2,2024,KVZ,"Schuljahre 9 und 10",N/A,jhrai,-3,-4,N/A,-4,-2,N/A,0,-3,6
0,9,-3,6,12,-4,12,6,0,0,9,6,2024,ARJ,"Schuljahre 9 und 10",N/A,jcnar,9,12,N/A,12,6,N/A,0,9,6
0,-3,0,6,0,0,0,6,0,0,-3,0,2024,PTI,"Schuljahre 9 und 10",N/A,jynto,0,-4,N/A,12,-2,N/A,0,-3,6
0,9,-3,6,12,12,12,6,0,0,9,-2,2024,PTI,"Schuljahre 9 und 10",N/A,rfjiy,9,0,N/A,-4,-2,N/A,0,-3,-2
0,9,0,-2,12,0,12,6,0,0,-3,0,2024,RPS,"Schuljahre 9 und 10",N/A,bycoq,0,-4,N/A,12,6,N/A,0,-3,0
0,9,0,0,12,-4,0,6,0,0,-3,6,2024,RPS,"Schuljahre 9 und 10",N/A,wujvq,9,0,N/A,12,0,N/A,0,-3,-2
0,9,9,-2,0,0,12,6,0,0,-3,-2,2024,ARJ,"Schuljahre 9 und 10",N/A,itrzk,-3,12,N/A,12,6,N/A,0,0,6
0,-3,-3,-2,-4,-4,-4,-2,0,0,-3,6,2024,KVZ,"Schuljahre 9 und 10",N/A,xicep,9,-4,N/A,12,6,N/A,0,-3,6
0,9,-3,-2,12,-4,-4,6,0,0,-3,-2,2024,CTP,"Schuljahre 9 und 10",N/A,uypbd,-3,-4,N/A,-4,6,N/A,0,-3,-2
0,9,0,-2,0,0,0,6,0,0,-3,-2,2024,CTP,"Schuljahre 9 und 10",N/A,hmkyf,-3,-4,N/A,0,6,N/A,0,-3,6
0,9,-3,-2,12,0,-4,6,0,0,9,6,2024,RPS,"Schuljahre 9 und 10",N/A,yhmjf,-3,-4,N/A,12,6,N/A,0,0,6
0,9,-3,6,12,12,12,6,0,0,-3,-2,2024,KVZ,"Schuljahre 9 und 10",N/A,jxmwd,9,-4,N/A,12,6,N/A,0,-3,6
0,9,-3,-2,-4,-4,-4,6,0,0,9,-2,2024,CTP,"Schuljahre 9 und 10",N/A,mrlxy,9,0,N/A,-4,-2,N/A,0,-3,6
0,9,9,6,12,12,12,6,0,0,9,6,2024,CTP,"Schuljahre 9 und 10",N/A,mlyor,9,12,N/A,12,6,N/A,0,9,-2
0,9,0,-2,-4,-4,0,-2,0,0,-3,-2,2024,CTP,"Schuljahre 9 und 10",N/A,rauml,-3,-4,N/A,12,6,N/A,0,0,-2
0,-3,0,-2,12,-4,0,-2,0,0,9,-2,2024,PTI,"Schuljahre 9 und 10",N/A,xfvcu,-3,-4,N/A,12,6,N/A,0,9,-2
0,9,9,-2,-4,0,0,6,0,0,-3,-2,2024,PTI,"Schuljahre 9 und 10",N/A,udcte,0,-4,N/A,12,0,N/A,0,0,0
0,-3,9,6,12,12,-4,-2,0,0,-3,6,2024,CTP,"Schuljahre 9 und 10",N/A,ilbwq,-3,12,N/A,12,6,N/A,0,9,6
0,0,0,-2,-4,0,-4,6,0,0,-3,-2,2024,CTP,"Schuljahre 9 und 10",N/A,tgrdm,9,-4,N/A,-4,6,N/A,0,9,6
0,0,0,-2,-4,0,-4,0,0,0,9,-2,2024,RPS,"Schuljahre 9 und 10",N/A,xadfw,9,-4,N/A,-4,-2,N/A,0,-3,6
0,9,-3,-2,12,-4,-4,6,0,0,-3,6,2024,ARJ,"Schuljahre 9 und 10",N/A,htfnm,9,-4,N/A,12,6,N/A,0,-3,6
0,0,0,-2,-4,0,-4,-2,0,0,-3,-2,2024,PTI,"Schuljahre 9 und 10",N/A,vmbig,9,-4,N/A,-4,6,N/A,0,0,-2
0,9,0,-2,-4,0,-4,6,0,0,-3,-2,2024,CTP,"Schuljahre 9 und 10",N/A,wfjki,0,0,N/A,-4,6,N/A,0,9,6
0,9,9,6,0,-4,12,6,0,0,-3,6,2024,ARJ,"Schuljahre 9 und 10",N/A,vawou,9,12,N/A,12,6,N/A,0,0,6
0,9,-3,-2,-4,-4,12,6,0,0,-3,-2,2024,CTP,"Schuljahre 9 und 10",N/A,yxuvm,9,12,N/A,12,6,N/A,0,-3,6
0,9,0,-2,-4,-4,0,-2,0,0,0,-2,2024,PTI,"Schuljahre 9 und 10",N/A,fcgyi,-3,0,N/A,-4,6,N/A,0,-3,6
0,9,9,6,12,-4,12,6,0,0,-3,6,2024,PTI,"Schuljahre 9 und 10",N/A,jglsk,-3,-4,N/A,12,-2,N/A,0,-3,6
