Bebrasien,Bergseen,"Biber Jones",Biber-Mail-Adressen,Biberholz,Biberone,Blumentöpfe,"Brennende Kerzen","Der Drachen ist weg!","Ein Tag im Nebel",Helligkeitskarte,Jahr,Klasse,Klassenstufe,Kurierdienst,Land,Mehltransport,Name,Parkplätze,Prüfungsplan,Schule,"Schwarz - Weiss",Stammbaum,Team,"Um die Felsen",ÖV
0,12,0,-4,6,-4,6,9,0,6,9,2025,MCV,"Schuljahre 9 und 10",9,N/A,9,cjakn,0,0,N/A,12,6,N/A,0,12
-2,12,0,0,6,0,6,9,9,-2,9,2025,QTJ,"Schuljahre 9 und 10",9,N/A,9,jlito,0,0,N/A,12,6,N/A,0,-4
6,12,0,0,6,0,6,9,9,6,-3,2025,JHE,"Schuljahre 9 und 10",9,N/A,0,huian,0,0,N/A,0,6,N/A,0,12
6,-4,0,0,6,0,6,9,9,6,9,2025,MCV,"Schuljahre 9 und 10",9,N/A,9,arzmx,0,0,N/A,0,6,N/A,0,-4
-2,0,0,12,6,0,6,9,9,6,9,2025,QTJ,"Schuljahre 9 und 10",0,N/A,9,jfaes,0,0,N/A,-4,6,N/A,0,0
-2,12,0,-4,6,-4,6,9,9,6,9,2025,MCV,"Schuljahre 9 und 10",9,N/A,9,nsmgb,0,0,N/A,-4,6,N/A,0,-4
6,0,0,0,6,0,6,9,9,6,9,2025,MCV,"Schuljahre 9 und 10",9,N/A,0,pwmfh,0,0,N/A,-4,6,N/A,0,0
6,0,0,0,6,0,0,9,0,6,9,2025,JHE,"Schuljahre 9 und 10",9,N/A,-3,shrdm,0,0,N/A,12,6,N/A,0,0
6,-4,0,0,6,0,6,9,9,6,9,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,0,oybcf,0,0,N/A,12,6,N/A,0,-4
6,12,0,0,6,-4,6,9,9,6,-3,2025,EQM,"Schuljahre 9 und 10",0,N/A,9,kzdvy,0,0,N/A,-4,6,N/A,0,0
-2,0,0,12,-2,0,6,9,0,6,9,2025,XSF,"Schuljahre 9 und 10",9,N/A,9,odfat,0,0,N/A,0,-2,N/A,0,0
6,0,0,0,6,0,6,9,0,6,9,2025,MCV,"Schuljahre 9 und 10",9,N/A,0,cepia,0,0,N/A,0,0,N/A,0,0
6,-4,0,-4,6,0,6,9,-3,6,9,2025,XSF,"Schuljahre 9 und 10",9,N/A,9,dwirt,0,0,N/A,-4,6,N/A,0,-4
6,0,0,0,6,0,6,9,9,6,-3,2025,EQM,"Schuljahre 9 und 10",0,N/A,9,rpazx,0,0,N/A,0,-2,N/A,0,0
-2,0,0,0,6,0,6,9,0,6,9,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,9,vjfez,0,0,N/A,0,6,N/A,0,0
6,12,0,-4,6,-4,6,-3,-3,6,-3,2025,JHE,"Schuljahre 9 und 10",9,N/A,9,lhxtv,0,0,N/A,-4,-2,N/A,0,12
-2,0,0,0,-2,0,6,9,0,6,9,2025,XSF,"Schuljahre 9 und 10",9,N/A,9,smfdg,0,0,N/A,0,-2,N/A,0,0
-2,12,0,0,6,0,6,9,0,6,0,2025,XSF,"Schuljahre 9 und 10",9,N/A,0,sphmj,0,0,N/A,0,0,N/A,0,-4
6,0,0,0,6,0,6,9,0,6,9,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,0,asqub,0,0,N/A,-4,6,N/A,0,0
-2,12,0,-4,6,0,6,9,-3,6,9,2025,XSF,"Schuljahre 9 und 10",9,N/A,0,rtsbf,0,0,N/A,-4,-2,N/A,0,-4
6,0,0,0,6,0,-2,9,-3,6,0,2025,QTJ,"Schuljahre 9 und 10",9,N/A,0,djgbc,0,0,N/A,0,6,N/A,0,0
6,0,0,0,6,0,-2,9,0,6,-3,2025,MCV,"Schuljahre 9 und 10",0,N/A,-3,vkcmj,0,0,N/A,12,6,N/A,0,0
6,-4,0,12,-2,-4,6,-3,-3,6,9,2025,EQM,"Schuljahre 9 und 10",-3,N/A,9,nkceu,0,0,N/A,-4,-2,N/A,0,12
-2,-4,0,-4,6,0,6,9,9,6,-3,2025,JHE,"Schuljahre 9 und 10",-3,N/A,9,fmxnj,0,0,N/A,0,6,N/A,0,0
6,0,0,0,6,0,0,9,0,6,0,2025,MCV,"Schuljahre 9 und 10",0,N/A,9,eiugc,0,0,N/A,0,-2,N/A,0,0
6,-4,0,0,6,-4,6,9,-3,6,9,2025,EQM,"Schuljahre 9 und 10",-3,N/A,0,sbizm,0,0,N/A,0,6,N/A,0,0
6,0,0,0,6,0,6,9,9,6,-3,2025,MCV,"Schuljahre 9 und 10",-3,N/A,0,cpjvu,0,0,N/A,-4,6,N/A,0,-4
-2,-4,0,-4,6,0,-2,9,-3,6,9,2025,XSF,"Schuljahre 9 und 10",9,N/A,9,vwmos,0,0,N/A,-4,6,N/A,0,-4
-2,0,0,0,-2,0,6,-3,9,6,9,2025,EQM,"Schuljahre 9 und 10",-3,N/A,9,pribl,0,0,N/A,-4,6,N/A,0,0
-2,-4,0,-4,6,-4,-2,9,-3,6,-3,2025,MCV,"Schuljahre 9 und 10",9,N/A,9,poetg,0,0,N/A,12,6,N/A,0,-4
-2,12,0,-4,6,-4,-2,9,-3,6,9,2025,JHE,"Schuljahre 9 und 10",-3,N/A,9,dazkx,0,0,N/A,-4,6,N/A,0,-4
-2,-4,0,0,6,0,-2,9,-3,6,-3,2025,MCV,"Schuljahre 9 und 10",9,N/A,9,bvftj,0,0,N/A,12,-2,N/A,0,-4
6,0,0,-4,6,0,6,-3,-3,6,0,2025,MCV,"Schuljahre 9 und 10",9,N/A,9,xngob,0,0,N/A,-4,6,N/A,0,-4
